,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,39.0,2,77516.0,0,13.0,3,4,1,0,0,2174.0,0.0,40.0,0,0
1,37.0,1,284582.0,4,14.0,0,0,2,0,1,0.0,0.0,40.0,0,0
2,37.0,1,280464.0,9,10.0,0,0,0,1,0,0.0,0.0,80.0,0,1
3,23.0,4,190709.0,5,12.0,3,12,1,0,0,0.0,0.0,52.0,0,0
4,21.0,1,197200.0,9,10.0,3,9,3,0,0,0.0,0.0,40.0,0,0
5,19.0,1,544091.0,1,9.0,6,4,2,0,1,0.0,0.0,25.0,0,0
6,57.0,3,337895.0,0,13.0,0,2,0,1,0,0.0,0.0,40.0,0,1
7,50.0,3,251585.0,0,13.0,1,0,1,0,0,0.0,0.0,55.0,0,1
8,46.0,1,216666.0,13,3.0,0,9,0,0,0,0.0,0.0,40.0,5,0
9,41.0,1,147372.0,1,9.0,0,4,0,0,0,0.0,0.0,48.0,0,0
10,29.0,1,105598.0,9,10.0,1,10,1,0,0,0.0,0.0,58.0,0,0
11,27.0,1,213921.0,1,9.0,3,3,3,0,0,0.0,0.0,40.0,5,0
12,67.0,5,212759.0,11,6.0,0,11,0,0,0,0.0,0.0,2.0,0,0
13,18.0,1,446839.0,1,9.0,3,5,1,0,0,0.0,0.0,30.0,0,0
14,46.0,1,51618.0,1,9.0,0,3,2,0,1,0.0,0.0,40.0,0,0
15,48.0,1,171095.0,5,12.0,1,0,4,0,1,0.0,0.0,40.0,13,0
16,20.0,1,188300.0,9,10.0,3,10,3,0,1,0.0,0.0,40.0,0,0
17,29.0,1,103432.0,1,9.0,3,6,1,0,0,0.0,0.0,40.0,0,0
18,42.0,1,124692.0,1,9.0,0,1,0,0,0,0.0,0.0,40.0,0,0
19,53.0,1,95647.0,3,5.0,0,1,0,0,0,0.0,0.0,50.0,0,0
20,49.0,4,197371.0,6,11.0,0,6,0,1,0,0.0,0.0,40.0,0,1
21,22.0,1,102632.0,1,9.0,3,6,1,0,0,0.0,0.0,41.0,0,0
22,21.0,1,199915.0,9,10.0,3,3,3,0,1,0.0,0.0,40.0,0,0
23,20.0,1,111697.0,9,10.0,3,4,3,0,1,0.0,1719.0,28.0,0,0
24,39.0,1,365739.0,9,10.0,1,6,1,0,0,0.0,0.0,40.0,0,0
25,22.0,1,175374.0,9,10.0,0,3,0,0,0,0.0,0.0,24.0,0,0
26,47.0,4,186009.0,9,10.0,1,4,4,0,1,0.0,0.0,38.0,5,0
27,71.0,0,494223.0,9,10.0,4,5,4,1,0,0.0,1816.0,2.0,0,0
28,36.0,1,207157.0,9,10.0,1,3,4,0,1,0.0,0.0,40.0,5,0
29,28.0,2,175325.0,1,9.0,0,12,0,0,0,0.0,0.0,40.0,0,0
30,51.0,1,96062.0,9,10.0,0,5,0,0,0,0.0,1977.0,40.0,0,1
31,21.0,1,312956.0,1,9.0,3,6,3,1,0,0.0,0.0,40.0,0,0
32,30.0,1,633742.0,9,10.0,3,6,1,1,0,0.0,0.0,45.0,0,0
33,41.0,0,143129.0,0,13.0,1,0,1,0,1,0.0,0.0,40.0,0,0
34,53.0,5,135105.0,0,13.0,1,11,1,0,1,0.0,0.0,50.0,0,0
35,24.0,1,159567.0,9,10.0,0,9,0,0,0,0.0,0.0,40.0,0,0
36,36.0,1,99374.0,9,10.0,1,6,1,0,0,0.0,0.0,40.0,0,0
37,40.0,3,56795.0,4,14.0,3,0,1,0,1,14084.0,0.0,55.0,0,1
38,37.0,1,208358.0,1,9.0,0,6,0,0,0,0.0,0.0,40.0,0,1
39,25.0,1,255004.0,11,6.0,3,6,1,0,0,0.0,0.0,40.0,0,0
40,31.0,1,197860.0,9,10.0,0,1,0,0,0,0.0,0.0,40.0,0,0
41,33.0,1,110978.0,9,10.0,1,6,5,4,1,0.0,0.0,40.0,0,0
42,41.0,0,196001.0,1,9.0,0,3,2,0,1,0.0,0.0,20.0,0,0
43,58.0,1,259014.0,9,10.0,3,7,1,0,0,0.0,0.0,20.0,0,0
44,17.0,1,191260.0,3,5.0,3,3,3,0,0,1055.0,0.0,24.0,0,0
45,25.0,1,193787.0,9,10.0,3,10,3,0,1,0.0,0.0,40.0,0,0
46,57.0,3,425161.0,4,14.0,0,5,0,0,0,15024.0,0.0,40.0,0,1
47,31.0,1,127595.0,1,9.0,1,2,1,0,1,0.0,0.0,40.0,0,0
48,21.0,1,153718.0,9,10.0,3,3,1,2,1,0.0,0.0,25.0,0,0
49,55.0,1,238638.0,1,9.0,0,5,0,0,0,4386.0,0.0,40.0,0,1
50,36.0,0,205607.0,0,13.0,1,2,1,1,1,0.0,0.0,40.0,0,1
51,35.0,1,186110.0,1,9.0,1,7,1,0,0,0.0,0.0,45.0,0,0
52,23.0,5,211601.0,6,11.0,3,11,3,1,1,0.0,0.0,15.0,0,0
53,66.0,1,127921.0,1,9.0,3,7,1,0,0,2050.0,0.0,55.0,0,0
