,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,50.0,0,83311.0,0,13.0,0,0,0,0,0,0.0,0.0,13.0,0,0
1,38.0,1,215646.0,1,9.0,1,1,1,0,0,0.0,0.0,40.0,0,0
2,53.0,1,234721.0,2,7.0,0,1,0,1,0,0.0,0.0,40.0,0,0
3,28.0,1,338409.0,0,13.0,0,2,2,1,1,0.0,0.0,40.0,1,0
4,49.0,1,160187.0,3,5.0,2,3,1,1,1,0.0,0.0,16.0,2,0
5,52.0,0,209642.0,1,9.0,0,0,0,0,0,0.0,0.0,45.0,0,1
6,31.0,1,45781.0,4,14.0,3,2,1,0,1,14084.0,0.0,50.0,0,1
7,42.0,1,159449.0,0,13.0,0,0,0,0,0,5178.0,0.0,40.0,0,1
8,30.0,2,141297.0,0,13.0,0,2,0,2,0,0.0,0.0,40.0,3,1
9,23.0,1,122272.0,0,13.0,3,4,3,0,1,0.0,0.0,30.0,0,0
10,32.0,1,205019.0,5,12.0,3,5,1,1,0,0.0,0.0,50.0,0,0
11,40.0,1,121772.0,6,11.0,0,6,0,2,0,0.0,0.0,40.0,4,1
12,34.0,1,245487.0,7,4.0,0,7,0,3,0,0.0,0.0,45.0,5,0
13,25.0,0,176756.0,1,9.0,3,8,3,0,0,0.0,0.0,35.0,0,0
14,32.0,1,186824.0,1,9.0,3,9,4,0,0,0.0,0.0,40.0,0,0
15,38.0,1,28887.0,2,7.0,0,5,0,0,0,0.0,0.0,50.0,0,0
16,43.0,0,292175.0,4,14.0,1,0,4,0,1,0.0,0.0,45.0,0,1
17,40.0,1,193524.0,8,16.0,0,2,0,0,0,0.0,0.0,60.0,0,1
18,54.0,1,302146.0,1,9.0,4,3,4,1,1,0.0,0.0,20.0,0,0
19,35.0,3,76845.0,3,5.0,0,8,0,1,0,0.0,0.0,40.0,0,0
20,43.0,1,117037.0,2,7.0,0,7,0,0,0,0.0,2042.0,40.0,0,0
21,59.0,1,109015.0,1,9.0,1,10,4,0,1,0.0,0.0,40.0,0,0
22,56.0,4,216851.0,0,13.0,0,10,0,0,0,0.0,0.0,40.0,0,1
23,19.0,1,168294.0,1,9.0,3,6,3,0,0,0.0,0.0,40.0,0,0
24,54.0,5,180211.0,9,10.0,0,11,0,2,0,0.0,0.0,60.0,6,1
25,39.0,1,367260.0,1,9.0,1,0,1,0,0,0.0,0.0,80.0,0,0
26,49.0,1,193366.0,1,9.0,0,6,0,0,0,0.0,0.0,40.0,0,0
27,20.0,1,266015.0,9,10.0,3,5,3,1,0,0.0,0.0,44.0,0,0
28,45.0,1,386940.0,0,13.0,1,0,3,0,0,0.0,1408.0,40.0,0,0
29,30.0,3,59951.0,9,10.0,0,4,3,0,0,0.0,0.0,40.0,0,0
30,22.0,2,311512.0,9,10.0,0,3,0,1,0,0.0,0.0,15.0,0,0
31,48.0,1,242406.0,2,7.0,3,9,4,0,0,0.0,0.0,40.0,7,0
32,31.0,1,84154.0,9,10.0,0,5,0,0,0,0.0,0.0,38.0,4,1
33,48.0,0,265477.0,5,12.0,0,2,0,0,0,0.0,0.0,40.0,0,0
34,31.0,1,507875.0,3,5.0,0,9,0,0,0,0.0,0.0,43.0,0,0
35,53.0,0,88506.0,0,13.0,0,2,0,0,0,0.0,0.0,40.0,0,0
36,24.0,1,172987.0,0,13.0,0,10,0,0,0,0.0,0.0,50.0,0,0
37,49.0,1,94638.0,1,9.0,4,4,4,0,1,0.0,0.0,40.0,0,0
38,25.0,1,289980.0,1,9.0,3,1,1,0,0,0.0,0.0,35.0,0,0
39,53.0,1,144361.0,1,9.0,0,9,0,0,0,0.0,0.0,38.0,0,0
40,44.0,1,128354.0,4,14.0,1,0,4,0,1,0.0,0.0,40.0,0,0
41,41.0,2,101603.0,6,11.0,0,6,0,0,0,0.0,0.0,40.0,0,0
42,29.0,1,271466.0,6,11.0,3,2,1,0,0,0.0,0.0,43.0,0,0
43,25.0,1,32275.0,9,10.0,0,0,2,4,1,0.0,0.0,40.0,0,0
44,18.0,1,226956.0,1,9.0,3,3,3,0,1,0.0,0.0,30.0,4,0
45,47.0,1,51835.0,10,15.0,0,2,2,0,1,0.0,1902.0,60.0,8,1
46,47.0,6,109832.0,1,9.0,1,0,1,0,0,0.0,0.0,60.0,0,0
47,43.0,1,237993.0,9,10.0,0,10,0,0,0,0.0,0.0,40.0,0,1
48,35.0,1,56352.0,6,11.0,0,3,0,0,0,0.0,0.0,40.0,7,0
49,30.0,1,188146.0,1,9.0,0,9,0,0,0,5013.0,0.0,40.0,0,0
50,30.0,1,59496.0,0,13.0,0,5,0,0,0,2407.0,0.0,40.0,0,0
51,32.0,5,293936.0,7,4.0,2,11,1,0,0,0.0,0.0,40.0,4,0
52,48.0,1,149640.0,1,9.0,0,7,0,0,0,0.0,0.0,40.0,0,0
53,42.0,1,116632.0,8,16.0,0,2,0,0,0,0.0,0.0,45.0,0,1
54,36.0,1,155537.0,1,9.0,0,6,0,0,0,0.0,0.0,40.0,0,0
55,28.0,1,183175.0,9,10.0,1,4,1,0,1,0.0,0.0,40.0,0,0
56,53.0,1,169846.0,1,9.0,0,4,2,0,1,0.0,0.0,40.0,0,1
57,49.0,6,191681.0,9,10.0,0,0,0,0,0,0.0,0.0,50.0,0,1
58,25.0,5,200681.0,9,10.0,3,11,3,0,0,0.0,0.0,40.0,0,0
59,19.0,1,101509.0,9,10.0,3,2,3,0,0,0.0,0.0,32.0,0,0
60,31.0,1,309974.0,0,13.0,4,5,3,1,1,0.0,0.0,40.0,0,0
61,29.0,0,162298.0,0,13.0,0,5,0,0,0,0.0,0.0,70.0,0,1
