,0,1,2,3,4
0,4.6,3.4,1.4,0.3,0
1,5.0,3.4,1.5,0.2,0
2,5.7,4.4,1.5,0.4,0
3,5.4,3.4,1.7,0.2,0
4,5.1,3.7,1.5,0.4,0
5,4.6,3.6,1.0,0.2,0
6,4.8,3.4,1.9,0.2,0
7,5.0,3.4,1.6,0.4,0
8,5.5,3.5,1.3,0.2,0
9,5.0,3.3,1.4,0.2,0
10,6.3,3.3,4.7,1.6,1
11,5.6,2.9,3.6,1.3,1
12,6.1,2.8,4.7,1.2,1
13,6.6,3.0,4.4,1.4,1
14,5.5,2.4,3.7,1.0,1
15,6.7,3.1,4.7,1.5,1
16,5.6,3.0,4.1,1.3,1
17,5.5,2.6,4.4,1.2,1
18,5.0,2.3,3.3,1.0,1
19,5.7,2.9,4.2,1.3,1
20,6.3,2.9,5.6,1.8,2
21,7.7,3.8,6.7,2.2,2
22,6.0,2.2,5.0,1.5,2
23,6.2,2.8,4.8,1.8,2
24,6.4,2.8,5.6,2.1,2
25,6.4,2.8,5.6,2.2,2
26,6.7,3.1,5.6,2.4,2
27,6.8,3.2,5.9,2.3,2
28,6.3,2.5,5.0,1.9,2
29,5.9,3.0,5.1,1.8,2
