,0,1,2,3,4
0,5.1,3.5,1.4,0.2,0
1,4.9,3.0,1.4,0.2,0
2,4.7,3.2,1.3,0.2,0
3,4.6,3.1,1.5,0.2,0
4,5.0,3.6,1.4,0.2,0
5,5.4,3.9,1.7,0.4,0
6,4.4,2.9,1.4,0.2,0
7,4.9,3.1,1.5,0.1,0
8,5.4,3.7,1.5,0.2,0
9,4.8,3.4,1.6,0.2,0
10,4.8,3.0,1.4,0.1,0
11,4.3,3.0,1.1,0.1,0
12,5.8,4.0,1.2,0.2,0
13,5.4,3.9,1.3,0.4,0
14,5.1,3.5,1.4,0.3,0
15,5.7,3.8,1.7,0.3,0
16,5.1,3.8,1.5,0.3,0
17,5.1,3.3,1.7,0.5,0
18,5.0,3.0,1.6,0.2,0
19,5.2,3.5,1.5,0.2,0
20,5.2,3.4,1.4,0.2,0
21,4.7,3.2,1.6,0.2,0
22,4.8,3.1,1.6,0.2,0
23,5.4,3.4,1.5,0.4,0
24,5.2,4.1,1.5,0.1,0
25,5.5,4.2,1.4,0.2,0
26,4.9,3.1,1.5,0.2,0
27,5.0,3.2,1.2,0.2,0
28,4.9,3.6,1.4,0.1,0
29,4.4,3.0,1.3,0.2,0
30,5.1,3.4,1.5,0.2,0
31,5.0,3.5,1.3,0.3,0
32,4.5,2.3,1.3,0.3,0
33,4.4,3.2,1.3,0.2,0
34,5.0,3.5,1.6,0.6,0
35,5.1,3.8,1.9,0.4,0
36,4.8,3.0,1.4,0.3,0
37,5.1,3.8,1.6,0.2,0
38,4.6,3.2,1.4,0.2,0
39,5.3,3.7,1.5,0.2,0
40,7.0,3.2,4.7,1.4,1
41,6.4,3.2,4.5,1.5,1
42,6.9,3.1,4.9,1.5,1
43,5.5,2.3,4.0,1.3,1
44,6.5,2.8,4.6,1.5,1
45,5.7,2.8,4.5,1.3,1
46,4.9,2.4,3.3,1.0,1
47,6.6,2.9,4.6,1.3,1
48,5.2,2.7,3.9,1.4,1
49,5.0,2.0,3.5,1.0,1
50,5.9,3.0,4.2,1.5,1
51,6.0,2.2,4.0,1.0,1
52,6.1,2.9,4.7,1.4,1
53,6.7,3.1,4.4,1.4,1
54,5.6,3.0,4.5,1.5,1
55,5.8,2.7,4.1,1.0,1
56,6.2,2.2,4.5,1.5,1
57,5.6,2.5,3.9,1.1,1
58,5.9,3.2,4.8,1.8,1
59,6.1,2.8,4.0,1.3,1
60,6.3,2.5,4.9,1.5,1
61,6.4,2.9,4.3,1.3,1
62,6.8,2.8,4.8,1.4,1
63,6.7,3.0,5.0,1.7,1
64,6.0,2.9,4.5,1.5,1
65,5.7,2.6,3.5,1.0,1
66,5.5,2.4,3.8,1.1,1
67,5.8,2.7,3.9,1.2,1
68,6.0,2.7,5.1,1.6,1
69,5.4,3.0,4.5,1.5,1
70,6.0,3.4,4.5,1.6,1
71,6.3,2.3,4.4,1.3,1
72,5.5,2.5,4.0,1.3,1
73,6.1,3.0,4.6,1.4,1
74,5.8,2.6,4.0,1.2,1
75,5.6,2.7,4.2,1.3,1
76,5.7,3.0,4.2,1.2,1
77,6.2,2.9,4.3,1.3,1
78,5.1,2.5,3.0,1.1,1
79,5.7,2.8,4.1,1.3,1
80,6.3,3.3,6.0,2.5,2
81,5.8,2.7,5.1,1.9,2
82,7.1,3.0,5.9,2.1,2
83,6.5,3.0,5.8,2.2,2
84,7.6,3.0,6.6,2.1,2
85,4.9,2.5,4.5,1.7,2
86,7.3,2.9,6.3,1.8,2
87,6.7,2.5,5.8,1.8,2
88,7.2,3.6,6.1,2.5,2
89,6.5,3.2,5.1,2.0,2
90,6.4,2.7,5.3,1.9,2
91,6.8,3.0,5.5,2.1,2
92,5.7,2.5,5.0,2.0,2
93,5.8,2.8,5.1,2.4,2
94,6.4,3.2,5.3,2.3,2
95,6.5,3.0,5.5,1.8,2
96,7.7,2.6,6.9,2.3,2
97,6.9,3.2,5.7,2.3,2
98,5.6,2.8,4.9,2.0,2
99,7.7,2.8,6.7,2.0,2
100,6.3,2.7,4.9,1.8,2
101,6.7,3.3,5.7,2.1,2
102,7.2,3.2,6.0,1.8,2
103,6.1,3.0,4.9,1.8,2
104,7.2,3.0,5.8,1.6,2
105,7.4,2.8,6.1,1.9,2
106,7.9,3.8,6.4,2.0,2
107,6.3,2.8,5.1,1.5,2
108,6.1,2.6,5.6,1.4,2
109,7.7,3.0,6.1,2.3,2
110,6.3,3.4,5.6,2.4,2
111,6.4,3.1,5.5,1.8,2
112,6.0,3.0,4.8,1.8,2
113,6.9,3.1,5.4,2.1,2
114,6.9,3.1,5.1,2.3,2
115,5.8,2.7,5.1,1.9,2
116,6.7,3.3,5.7,2.5,2
117,6.7,3.0,5.2,2.3,2
118,6.5,3.0,5.2,2.0,2
119,6.2,3.4,5.4,2.3,2
